City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Nuoro,IT,2022-05-04 02:37:40,40.3211,9.3297,50.4,77,62,2.01
248,Sao Joao Da Barra,BR,2022-05-04 02:37:41,-21.6403,-41.0511,75.06,87,0,10.89
249,Saldanha,ZA,2022-05-04 02:37:41,-33.0117,17.9442,59.23,97,11,8.97
250,Krasnoselkup,RU,2022-05-04 02:37:42,65.7,82.4667,30.76,84,100,25.48
251,Hasaki,JP,2022-05-04 02:37:42,35.7333,140.8333,73.29,58,0,21.14
252,Saint-Pierre,RE,2022-05-04 02:37:42,-21.3393,55.4781,72.91,65,0,9.22
253,Cabo San Lucas,MX,2022-05-04 02:34:14,22.8909,-109.9124,78.1,62,0,8.05
254,Sabzevar,IR,2022-05-04 02:37:43,36.2126,57.6819,54.68,88,20,11.5
255,Guiratinga,BR,2022-05-04 02:37:44,-16.3494,-53.7583,65.61,91,31,6.38
256,Labuan,MY,2022-05-04 02:37:44,5.2767,115.2417,86.36,79,20,3.44
257,Oranjemund,NA,2022-05-04 02:37:45,-28.55,16.4333,56.43,83,0,3.96
258,Banda Aceh,ID,2022-05-04 02:37:45,5.5577,95.3222,83.44,72,100,9.35
259,Manturovo,RU,2022-05-04 02:37:46,58.3353,44.7619,39.15,88,79,6.38
260,Olafsvik,IS,2022-05-04 02:37:46,64.8945,-23.7142,33.96,64,66,9.1
261,El Tigre,VE,2022-05-04 02:37:46,8.8875,-64.2454,79.27,65,37,14.97
262,College,US,2022-05-04 02:37:47,64.8569,-147.8028,55.72,36,75,3.44
263,Smirnykh,RU,2022-05-04 02:37:47,49.75,142.8333,41.58,81,97,7.92
264,Kisanga,TZ,2022-05-04 02:37:48,-7.4362,37.7034,68.83,90,91,4.12
265,Cervo,ES,2022-05-04 02:35:55,43.6702,-7.4101,54.55,87,38,8.34
266,Antigonish,CA,2022-05-04 02:37:48,45.6169,-61.9986,36.82,88,20,1.99
267,Ixtapa,MX,2022-05-04 02:37:49,20.7,-105.2,76.23,83,20,8.05
268,Cabedelo,BR,2022-05-04 02:33:00,-6.9811,-34.8339,77.67,84,14,12.75
269,Kushmurun,KZ,2022-05-04 02:38:49,52.4503,64.6311,52.34,32,97,13.62
270,Aksu,CN,2022-05-04 02:38:50,41.1231,80.2644,75.69,14,100,0.72
271,Luderitz,NA,2022-05-04 02:38:50,-26.6481,15.1594,66.52,49,0,7.05
272,Cherskiy,RU,2022-05-04 02:38:51,68.75,161.3,34.7,98,100,11.01
273,Melfort,CA,2022-05-04 02:38:51,52.8667,-104.6177,41.13,75,100,11.5
274,Doha,QA,2022-05-04 02:38:52,25.2867,51.5333,84.18,35,0,11.5
275,Waipawa,NZ,2022-05-04 02:38:52,-41.4122,175.5153,62.62,61,14,8.59
276,Sivas,TR,2022-05-04 02:38:53,39.7916,37.0019,47.03,100,75,4.61
277,Tha Mai,TH,2022-05-04 02:38:53,12.6214,102.0048,83.41,68,96,5.01
278,Yar-Sale,RU,2022-05-04 02:38:53,66.8333,70.8333,34.3,100,100,18.28
279,Qaqortoq,GL,2022-05-04 02:38:54,60.7167,-46.0333,31.77,81,86,3.36
280,Lasa,IT,2022-05-04 02:38:54,46.6166,10.7002,49.08,92,100,1.3
281,Andenes,NO,2022-05-04 02:38:55,69.3143,16.1194,33.78,55,40,23.02
282,Dolores Hidalgo,MX,2022-05-04 02:38:55,21.1561,-100.9308,74.79,33,71,5.23
283,Tigil,RU,2022-05-04 02:38:56,57.8,158.6667,35.56,76,72,2.86
284,Awbari,LY,2022-05-04 02:38:56,26.5921,12.7805,68.09,21,19,11.5
285,Christchurch,NZ,2022-05-04 02:38:57,-43.5333,172.6333,61.92,84,100,5.75
286,Araguaina,BR,2022-05-04 02:36:42,-7.1911,-48.2072,74.03,85,94,3.8
287,Kathmandu,NP,2022-05-04 02:36:11,27.7167,85.3167,66.42,88,75,2.3
288,Barguzin,RU,2022-05-04 02:38:57,53.6167,109.6167,48.83,36,8,8.21
289,Lata,PT,2022-05-04 02:38:58,40.1629,-8.3327,52.18,77,0,6.49
290,Cayenne,GF,2022-05-04 02:38:58,4.9333,-52.3333,78.1,1,75,3.44
291,Horadiz,AZ,2022-05-04 02:38:59,39.4488,47.3353,53.83,79,98,2.84
292,Husavik,IS,2022-05-04 02:38:59,66.0449,-17.3389,31.21,96,100,12.82
293,Salalah,OM,2022-05-04 02:38:59,17.0151,54.0924,80.69,78,0,3.44
294,Kachug,RU,2022-05-04 02:39:00,53.9606,105.8817,47.37,50,89,14.03
