City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Nakhon Pathom,TH,87.85,overcast clouds,13.9833,100.0833,The Prince Residence
424,Pithora,IN,86.16,overcast clouds,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
425,Wanning,CN,85.68,overcast clouds,18.8003,110.3967,Paradise Hotel
436,Macau,MO,78.6,heavy intensity shower rain,22.2006,113.5461,Grand Emperor Hotel
437,Umm Lajj,SA,79.86,broken clouds,25.0213,37.2685,Moon light Furnished Units
443,Sao Jose Da Coroa Grande,BR,76.05,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
445,Limbang,MY,84.31,overcast clouds,4.75,115.0,Purnama Hotel
451,Touros,BR,76.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
452,Barra Dos Coqueiros,BR,75.22,broken clouds,-10.9089,-37.0386,Quality Hotel Aracaju
455,Soyo,AO,77.18,overcast clouds,-6.1349,12.3689,Hotel Mpampa
457,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
459,Palizada,MX,81.48,clear sky,18.25,-92.0833,Hotel San Joaquín Palizada
460,Raghunathpur,IN,88.72,scattered clouds,23.55,86.6667,Sakampuri Pvt Ltd
463,Axim,GH,80.15,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
464,Dawei,MM,80.51,overcast clouds,14.0833,98.2,Hotel Dawei
465,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
466,Matara,LK,82.94,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
467,Bima,ID,88.68,overcast clouds,-8.4667,118.7167,Lambitu Hotel
470,Kon Tum,VN,86.32,scattered clouds,14.35,108.0,Hoa đà spa- homestay
473,Port Blair,IN,85.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
474,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
475,Gamba,GA,76.93,broken clouds,-2.65,10.0,
476,Dallas,US,85.93,few clouds,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
478,Agadez,NE,85.35,broken clouds,19.75,10.25,
480,Wau,SS,76.01,overcast clouds,7.7029,27.9953,Universal Gab Hotel
484,Muli,MV,84.56,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
490,Korla,CN,81.7,broken clouds,41.7597,86.1469,Gulisitan Hotel
493,Nyaunglebin,MM,89.01,broken clouds,17.95,96.7333,Thi ha
504,Am Timan,TD,86.0,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
505,Kimbe,PG,86.02,light rain,-5.5502,150.1429,Kimbe Bay Hotel
510,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
523,Ixtapa,MX,79.23,few clouds,20.7,-105.2,hotel la terminal
525,Araouane,ML,80.6,clear sky,18.9048,-3.5265,
529,Trincomalee,LK,85.17,overcast clouds,8.5711,81.2335,Welcombe Hotel
532,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
533,Cocula,MX,75.58,scattered clouds,20.3652,-103.8222,Hotel Nandino
537,El Vigia,VE,77.5,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
547,Aden,YE,83.7,clear sky,12.7794,45.0367,Sama Emirate Hotel
550,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
