City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Shaunavon,CA,49.6501,-108.4181,55.18,35,51,12.55,broken clouds
139,Buchanan,LR,5.8808,-10.0467,78.89,86,100,2.39,light rain
140,Harper,LR,4.375,-7.7169,79.65,85,100,5.93,overcast clouds
141,Uyuni,BO,-20.4597,-66.825,41.07,17,0,2.66,clear sky
142,Phan Thiet,VN,10.9333,108.1,87.48,63,61,4.32,broken clouds
143,Piracanjuba,BR,-17.3028,-49.0167,67.64,56,98,6.73,overcast clouds
144,Vila,PT,42.0304,-8.1588,43.7,83,37,2.44,scattered clouds
145,Borshchiv,UA,48.8033,26.0435,48.16,68,100,2.51,overcast clouds
146,Laguna,US,38.421,-121.4238,58.98,44,20,10.36,few clouds
147,Bonfim,BR,3.0833,-59.95,77.95,77,5,5.91,clear sky
148,Bilibino,RU,68.0546,166.4372,33.87,89,100,4.34,overcast clouds
149,Niquero,CU,20.0431,-77.5828,78.94,79,62,12.57,broken clouds
150,Iseyin,NG,7.9667,3.6,74.37,95,100,3.78,overcast clouds
151,Nhulunbuy,AU,-12.2333,136.7667,86.61,70,75,8.05,broken clouds
152,Yenagoa,NG,4.9247,6.2642,76.86,89,100,1.36,overcast clouds
153,Reftinskiy,RU,57.0901,61.6769,49.35,88,100,11.36,light rain
154,Dukat,RU,62.55,155.55,32.95,100,99,9.64,overcast clouds
155,Evanston,US,42.0411,-87.6901,87.8,66,75,10.36,broken clouds
156,Amga,RU,60.8953,131.9608,32.2,59,100,8.57,overcast clouds
157,Luneville,FR,48.6,6.5,63.82,94,74,7.38,broken clouds
158,Tilichiki,RU,60.4667,166.1,34.32,97,100,3.89,overcast clouds
159,Matamoros,MX,25.5333,-103.25,91.51,18,100,27.63,overcast clouds
160,Avarua,CK,-21.2078,-159.775,80.65,83,75,3.44,broken clouds
161,Mar Del Plata,AR,-38.0023,-57.5575,54.88,78,40,11.99,scattered clouds
162,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,65.91,73,100,3.11,overcast clouds
163,La Ronge,CA,55.1001,-105.2842,46.65,49,75,6.91,broken clouds
164,Izumo,JP,35.3667,132.7667,69.75,82,75,2.3,broken clouds
165,Warri,NG,5.5167,5.75,75.2,92,100,2.06,overcast clouds
166,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,41.74,70,100,12.77,overcast clouds
167,Castlemaine,AU,-37.0667,144.2167,63.0,84,100,8.84,moderate rain
168,Sitka,US,57.0531,-135.33,44.49,65,100,11.5,overcast clouds
169,Padang,ID,-0.9492,100.3543,86.05,71,99,1.16,overcast clouds
170,Acarau,BR,-2.8856,-40.12,77.11,83,100,5.46,overcast clouds
171,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,light snow
172,Yerbogachen,RU,61.2767,108.0108,46.92,66,27,9.46,scattered clouds
173,Kysyl-Syr,RU,63.8986,122.7617,38.23,80,75,7.27,broken clouds
